municipio_codigo;municipio_nombre;sexo;provincia_nacimiento;numero_defunciones
003; Alameda del Valle;Hombre;Girona;0
003; Alameda del Valle;Hombre;Granada;0
003; Alameda del Valle;Hombre;Guadalagara;0
003; Alameda del Valle;Hombre;Huelva;0
003; Alameda del Valle;Hombre;Huesca;0
003; Alameda del Valle;Hombre;Jaen;0
003; Alameda del Valle;Hombre;León;0
003; Alameda del Valle;Hombre;Lleida;0
003; Alameda del Valle;Hombre;Lugo;0
003; Alameda del Valle;Hombre;Madrid;0
003; Alameda del Valle;Hombre;Málaga;0
003; Alameda del Valle;Hombre;Melilla;0
003; Alameda del Valle;Hombre;Murcia;0
003; Alameda del Valle;Hombre;Navarra;0
003; Alameda del Valle;Hombre;No consta;0
003; Alameda del Valle;Hombre;Ourense;0
003; Alameda del Valle;Hombre;Palencia;0
003; Alameda del Valle;Hombre;Palmas (Las);0
003; Alameda del Valle;Hombre;Pontevedra;0
003; Alameda del Valle;Hombre;Rioja (La);0
003; Alameda del Valle;Hombre;Salamanca;0
003; Alameda del Valle;Hombre;Santa cruz de Tenerife;0
003; Alameda del Valle;Hombre;Segovia;0
003; Alameda del Valle;Hombre;Sevilla;0
003; Alameda del Valle;Hombre;Soria;0
003; Alameda del Valle;Hombre;Tarragona;0
003; Alameda del Valle;Hombre;Teruel;0
003; Alameda del Valle;Hombre;Toledo;0
003; Alameda del Valle;Hombre;Valencia/València;0
003; Alameda del Valle;Hombre;Valladolid;0
003; Alameda del Valle;Hombre;Zamora;0
003; Alameda del Valle;Hombre;Zaragoza;0
003; Alameda del Valle;Mujer;Albacete;0
003; Alameda del Valle;Mujer;Alicante/Alacant;0
003; Alameda del Valle;Mujer;Almería;0
003; Alameda del Valle;Mujer;Araba/Álava;0
003; Alameda del Valle;Mujer;Asturias;0
003; Alameda del Valle;Mujer;Ávila;0
003; Alameda del Valle;Mujer;Badajoz;0
003; Alameda del Valle;Mujer;Baleares (Illes);0
003; Alameda del Valle;Mujer;Barcelona;0
003; Alameda del Valle;Mujer;Bizkaia;0
003; Alameda del Valle;Mujer;Burgos;0
003; Alameda del Valle;Mujer;Cáceres;0
003; Alameda del Valle;Mujer;Cádiz;0
003; Alameda del Valle;Mujer;Cantabria;0
003; Alameda del Valle;Mujer;Castellón/Castelló;0
003; Alameda del Valle;Mujer;Ceuta;0
003; Alameda del Valle;Mujer;Ciudad Real;0
003; Alameda del Valle;Mujer;Córdoba;0
003; Alameda del Valle;Mujer;Coruña (A);0
003; Alameda del Valle;Mujer;Cuenca;0
003; Alameda del Valle;Mujer;Gipuzkoa;0
003; Alameda del Valle;Mujer;Girona;0
003; Alameda del Valle;Mujer;Granada;0
003; Alameda del Valle;Mujer;Guadalagara;0
003; Alameda del Valle;Mujer;Huelva;0
003; Alameda del Valle;Mujer;Huesca;0
003; Alameda del Valle;Mujer;Jaen;0
003; Alameda del Valle;Mujer;León;0
003; Alameda del Valle;Mujer;Lleida;0
003; Alameda del Valle;Mujer;Lugo;0
003; Alameda del Valle;Mujer;Madrid;2
003; Alameda del Valle;Mujer;Málaga;0
003; Alameda del Valle;Mujer;Melilla;0
003; Alameda del Valle;Mujer;Murcia;0
003; Alameda del Valle;Mujer;Navarra;0
003; Alameda del Valle;Mujer;No consta;0
003; Alameda del Valle;Mujer;Ourense;0
003; Alameda del Valle;Mujer;Palencia;0
003; Alameda del Valle;Mujer;Palmas (Las);0
003; Alameda del Valle;Mujer;Pontevedra;0
003; Alameda del Valle;Mujer;Rioja (La);0
003; Alameda del Valle;Mujer;Salamanca;0
003; Alameda del Valle;Mujer;Santa cruz de Tenerife;0
003; Alameda del Valle;Mujer;Segovia;0
003; Alameda del Valle;Mujer;Sevilla;1
003; Alameda del Valle;Mujer;Soria;0
